Light Source:,LAV2-SW,,,,
Filter:,"Tricolor 457 +/- 22 nm, 530 +/- 20 nm, 628 +/- 28 nm",,,,
Camera:,"IDS USB 3.0 Camera, Model UI-3060CPC",,,,
Wavelength (nm),Relative Light Intensity (fraction),Light Filter (fraction),Relative Camera Sensitivity for Red (fraction),Relative Camera Sensitivity for Green (fraction),Relative Camera Sensitivity for Blue (fraction)
414.3,0.000913756,0,0.052842939,0.037684287,0.458630536
414.4,0.00092273,0,0.052676798,0.037599263,0.459173901
414.5,0.000932019,0,0.052511168,0.037515064,0.45971388
414.6,0.000941661,0,0.052346066,0.037431741,0.460251452
414.7,0.000951697,0,0.052180317,0.037349345,0.460787596
414.8,0.000962165,0,0.052013411,0.037267925,0.461323293
414.9,0.000973104,0,0.05184558,0.037187533,0.461859522
415,0.000984555,0,0.051677057,0.03710822,0.462397262
415.1,0.000996556,0,0.051508073,0.037030035,0.462937494
415.2,0.001009147,0,0.051338861,0.03695303,0.463481197
415.3,0.001022366,0,0.051169653,0.036877255,0.46402935
415.4,0.001036254,0,0.051000681,0.036802762,0.464582934
415.5,0.001050849,0,0.050832178,0.0367296,0.465142929
415.6,0.001066192,0,0.050664376,0.036657812,0.465710201
415.7,0.00108232,0,0.050497508,0.036586928,0.466284281
415.8,0.001099577,0,0.050331805,0.036516647,0.466864201
415.9,0.001119268,0,0.0501675,0.036446966,0.467449052
416,0.001141518,0,0.050004826,0.036377877,0.468037924
416.1,0.001166304,0,0.049844014,0.036309375,0.468629907
416.2,0.001193603,0,0.049685296,0.036241454,0.46922409
416.3,0.001223391,0,0.049528906,0.036174109,0.469819564
416.4,0.001255645,0,0.049375076,0.036107335,0.470415419
416.5,0.00129034,0,0.049224037,0.036041124,0.471010745
416.6,0.001327454,0,0.049076022,0.035975473,0.471604632
416.7,0.001366964,0,0.048931263,0.035910374,0.47219617
416.8,0.001408845,0,0.048789816,0.035845823,0.472784449
416.9,0.001453074,0,0.04865021,0.035781813,0.473368559
417,0.001499627,0,0.048512037,0.035718339,0.47394759
417.1,0.001548482,0,0.048375269,0.035655396,0.474520633
417.2,0.001599614,0,0.048239873,0.035592977,0.475086777
417.3,0.001653,0,0.04810582,0.035531077,0.475645112
417.4,0.001708617,0,0.047973079,0.03546969,0.476195015
417.5,0.001766441,0,0.047841619,0.035408811,0.476738432
417.6,0.001826449,0,0.04771141,0.035348434,0.477276267
417.7,0.001888617,0,0.047582421,0.035288553,0.477808966
417.8,0.001952921,0,0.047454623,0.035229162,0.478336969
417.9,0.002019339,0,0.047327983,0.035170257,0.478860722
418,0.002087846,0,0.047202472,0.03511183,0.479380667
418.1,0.002158419,0,0.04707806,0.035053877,0.479897248
418.2,0.002231034,0,0.046954715,0.034996391,0.480410907
418.3,0.002305669,0,0.046832407,0.034939368,0.480922088
418.4,0.0023823,0,0.046711105,0.034882801,0.481431234
